season,week,type,home_team,away_team,home_score,away_score,total,game_id
2009,1,reg,PIT,TEN,13,10,23,2009091000
2009,1,reg,CLE,MIN,20,34,54,2009091304
2009,1,reg,NO,DET,45,27,72,2009091307
2009,1,reg,TB,DAL,21,34,55,2009091308
2009,1,reg,HOU,NYJ,7,24,31,2009091305
2009,1,reg,IND,JAC,14,12,26,2009091306
2009,1,reg,CIN,DEN,7,12,19,2009091303
2009,1,reg,CAR,PHI,10,38,48,2009091302
2009,1,reg,BAL,KC,38,24,62,2009091301
2009,1,reg,ATL,MIA,19,7,26,2009091300
2009,1,reg,ARI,SF,16,20,36,2009091309
2009,1,reg,SEA,STL,28,0,28,2009091311
2009,1,reg,NYG,WAS,23,17,40,2009091310
2009,1,reg,GB,CHI,21,15,36,2009091312
2009,1,reg,NE,BUF,25,24,49,2009091400
2009,1,reg,OAK,SD,20,24,44,2009091401
2009,2,reg,ATL,CAR,28,20,48,2009092000
2009,2,reg,DET,MIN,13,27,40,2009092001
2009,2,reg,WAS,STL,9,7,16,2009092008
2009,2,reg,TEN,HOU,31,34,65,2009092007
2009,2,reg,PHI,NO,22,48,70,2009092006
2009,2,reg,NYJ,NE,16,9,25,2009092005
2009,2,reg,KC,OAK,10,13,23,2009092004
2009,2,reg,JAC,ARI,17,31,48,2009092003
2009,2,reg,GB,CIN,24,31,55,2009092002
2009,2,reg,SF,SEA,23,10,33,2009092010
2009,2,reg,BUF,TB,33,20,53,2009092009
2009,2,reg,SD,BAL,26,31,57,2009092013
2009,2,reg,DEN,CLE,27,6,33,2009092012
2009,2,reg,CHI,PIT,17,14,31,2009092011
2009,2,reg,DAL,NYG,31,33,64,2009092014
2009,2,reg,MIA,IND,23,27,50,2009092100
2009,3,reg,BAL,CLE,34,3,37,2009092700
2009,3,reg,NYJ,TEN,24,17,41,2009092711
2009,3,reg,DET,WAS,19,14,33,2009092702
2009,3,reg,HOU,JAC,24,31,55,2009092703
2009,3,reg,MIN,SF,27,24,51,2009092704
2009,3,reg,NE,ATL,26,10,36,2009092705
2009,3,reg,TB,NYG,0,24,24,2009092708
2009,3,reg,PHI,KC,34,14,48,2009092706
2009,3,reg,STL,GB,17,36,53,2009092707
2009,3,reg,BUF,NO,7,27,34,2009092709
2009,3,reg,SEA,CHI,19,25,44,2009092710
2009,3,reg,CIN,PIT,23,20,43,2009092701
2009,3,reg,SD,MIA,23,13,36,2009092713
2009,3,reg,OAK,DEN,3,23,26,2009092712
2009,3,reg,ARI,IND,10,31,41,2009092714
2009,3,reg,DAL,CAR,21,7,28,2009092800
2009,4,reg,CHI,DET,48,24,72,2009100400
2009,4,reg,CLE,CIN,20,23,43,2009100401
2009,4,reg,HOU,OAK,29,6,35,2009100402
2009,4,reg,IND,SEA,34,17,51,2009100403
2009,4,reg,JAC,TEN,37,17,54,2009100404
2009,4,reg,KC,NYG,16,27,43,2009100405
2009,4,reg,NE,BAL,27,21,48,2009100406
2009,4,reg,WAS,TB,16,13,29,2009100407
2009,4,reg,MIA,BUF,38,10,48,2009100408
2009,4,reg,NO,NYJ,24,10,34,2009100409
2009,4,reg,DEN,DAL,17,10,27,2009100410
2009,4,reg,SF,STL,35,0,35,2009100411
2009,4,reg,PIT,SD,38,28,66,2009100412
2009,4,reg,MIN,GB,30,23,53,2009100500
2009,5,reg,STL,MIN,10,38,48,2009101107
2009,5,reg,PHI,TB,33,14,47,2009101106
2009,5,reg,KC,DAL,20,26,46,2009101104
2009,5,reg,DET,PIT,20,28,48,2009101103
2009,5,reg,CAR,WAS,20,17,37,2009101102
2009,5,reg,BUF,CLE,3,6,9,2009101101
2009,5,reg,NYG,OAK,44,7,51,2009101105
2009,5,reg,BAL,CIN,14,17,31,2009101100
2009,5,reg,SF,ATL,10,45,55,2009101108
2009,5,reg,SEA,JAC,41,0,41,2009101111
2009,5,reg,DEN,NE,20,17,37,2009101110
